"","id","name","alt","abbr"
"1","295","BonaRes","character(0)","BnRs"
"2","2113","NEMA","character(0)","NEMA"
"3","3180","VectorBase","character(0)","VctB"
"4","2503","Schema.org","character(0)","Sch."
"5","280","BioTop Administrators","character(0)","BTpA"
"6","2044","National library of Korea, Seoul, Korea","character(0)","NloKSK"
"7","2116","NeoMark Ontology Administrators","character(0)","NMOA"
"8","3129","University of Stuttgart - University library","character(0)","UoS-Ul"
"9","2923","United Nations Dag Hammarskjöld Library, New York, NY, USA","character(0)","UNDHLNYNU"
"10","786","Drug Disease Model Resource (DDMoRe), Sandwich, UK","character(0)","DDMoRe"
"11","3269","Yan Cui's Lab, University of Tennessee Health Science Center,  Memphis, USA","character(0)","YCLUoTHSCMU"
"12","1747","Major Histocompatibility Complex ontology (MHC) Administrators","character(0)","MHC"
"13","467","Centre for Protein Engineering (CIP), University of Liege, Liege, Belgium","character(0)","CIP"
"14","711","Department of Genetics, Eotvos Lorand University University, Hungary","character(0)","DoGELUUH"
"15","1586","Jan Tavernier Lab","character(0)","JnTL"
"16","115","Arthritis Research UK","character(0)","ARUK"
"17","921","European Commission FP7-ICT","character(0)","ECFP"
"18","887","EU FP6 ActinoGEN project","character(0)","EFAp"
"19","922","European Commission FP7 Transplant Project","character(0)","ECFTP"
"20","920","European Commission FP7","character(0)","ECFP"
"21","405","Center for Biomedical Informatics and Information Technology (CBIIT), Washington, DC, USA","character(0)","CBIIT"
"22","239","Bioinformatics Center, Institute for Chemical Research, Kyoto University, Kyoto,Japan","character(0)","BCIfCRKUK"
"23","2732","Terry Fox Laboratory, BC Cancer Agency, Vancouver, British Columbia, Canada","character(0)","TFLBCAVBCC"
"24","2411","Red Sea Research Center, King Abdullah University of Science and Technology (KAUST), Saudi Arabia","character(0)","KAUST"
"25","2870","Transcriptional control of chordate morphogenesis Lab, CRBM, Montpellier, France","character(0)","TcocmLCMF"
"26","532","Clean Combustion Research Center, King Abdullah University of Science and Technology. Saudi Arabia","character(0)","CCRCKAUoSaTSA"
"27","1662","Laboratoire d'Analyses Bioinformatiques pour la Genomique et le Metabolisme (LABGeM), Evry, France","character(0)","LABGeM"
"28","1677","Laboratory of Microbiology UGen (LM-UGent), Ghent University, Faculty of Sciences, Ghent, Belgium","character(0)","LM-UGent"
"29","470","Centre for Structural and Functional Genomics, Concordia University, Montreal, QC, Canada","character(0)","CfSaFGCUMQC"
"30","824","EC project agInfra: A data infrastructure to support agricultural scientific Communities","character(0)","EpaAditsasC"
"31","667","Department of Biochemistry and Biomedical Sciences, McMaster University, Hamilton, Ontario, Canada","character(0)","DoBaBSMUHOC"
"32","722","Department of Medical Biometry and Medical Informatics, University of Freiburg, Freiburg, Germany","character(0)","DoMBaMIUoFFG"
"33","1386","Institute for Medical Informatics, Statistics and Documentation, Medical University of Graz, Graz, Austria","character(0)","IfMISaDMUoGGA"
"34","19","Access to Biological Collections Data (ABCD) task group, Taxonomic Databases Working Group (TDWG)","character(0)","TDWG"
"35","407","Center for Biomolecular Science and Enginnering (CBSE), University of California, Santa Cruz, CA, USA","character(0)","CBSE"
"36","1176","Global Monitoring Laboratory (GML), Earth System Research Laboratories (ESRL), Boulder, Colorado, USA","character(0)","ESRL"
"37","394","Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany","character(0)","EMBL"
"38","857","Emory University, Atlanta, Georgia, USA","character(0)","EUAGU"
